id,author,clean_comment,sentiment
1,@frederykoscar4454,dengar liat jejak bpk ahok berharap bpk presiden bangga bpk ahok,positive
2,@madelastra4862,bongkar ya bongkar rakyat tau tikut yg berdasi jaringan,negative
3,@anangnaviri7900,pahlawan kesiangan sdh diproses kejaksaan sok pahlawan nkri bayar lho mahal,negative
4,@dpcyber5069,temen kasih dirut you know temenya,positive
5,@mzainalghozali8197,datamu sak uprit langsung ciut,negative
6,@UmiHarahap-b2c,logika aj ahok kalo ko kesatria patriot ko menjabat enak gk ko langsung ko bongkar atasanmu penguasa bermain langit runtuh ahok kebenaran n keadilan ditegakkan n agenda ko ahok jijik aq lihatmu akal sehat ko nanci patriot n krsatria hsus jabatan n kekuasaan,negative
7,@Aloy-i4p,ahok jangam omon aja berani berkoar buktinya jokowi org jujur ga disentuh kecuali presiden skr prabowo lihat skr presiden disentuh dicolek ga politikus amin rais rohky gerung sentuh mah nihil,negative
8,@himmaaylu2346,mantap pk ahok,positive
9,@editando9862,,positive
10,@anangmurni8060,semoga terkuak dn msuk prnjara,negative
11,@atbNTT,ahok mulut omon tipu gk,negative
12,@adejoeofficial8705,omon²,positive
13,@marioseptirian3288,toilet urusin quadra korupsi tempe ngeles boy udhlah tutuplah indonesia sdh kacau kasian rakyat miskin korupsi coba aduuh aduhh buka ayo buka versi gimana,negative
14,@toeloessoebagiono1574,ganti sekjen ganti ketum,neutral
15,@farouqsultony3792,sehat ahok dimanapun selamat musuhnya gede sekelas presiden aja gk berani rakyat kayak gini rakyat bersatu membela ahok merevolusi pertamina dgn dana rakus banget mafia migas hidup dgn dana t setahun gak neko² gk kerja gk habis tu gila,negative
16,@babyfortuna8293,keren nich pa ahok amanah,positive
17,@sunartonarto3638,mgkn dibersihkan korupsi nkri krn terindikasi melakukanya,negative
18,@chennimarlina5996,sbg iburumahtangga mengutuk nama tuhanku koruptur indonesia meneteskan airmata laki jujur lalulalang jalan berjuang matian halal memenuhi kebutuhan isteri anaknya kepercayaan rakyat praktek laknat,negative
19,@christinesuparni2365,hebat emang anok ditantang dg apau lancar plonga plongo hebat ahok,positive
20,@Putramarinis1990Sitinjak,ahok tau nya ngomong aja bawa bukti kejaksaan andai tau jgn bacott aja seolah² pahlawan kesiangan,negative
21,@mamanika2223,rakyat dah ngk membedakan man polisi mna oknum pejebat penjahat rakyat jt jwa tndas trs bambu runcinglah yng akn melibas pra koruptor jg pra penjahat,negative
22,@CahayaCahya-rq1ks,cc,neutral
23,@ajibarangbms6561,stay pk ahok,positive
24,@rahmatkocak6615,sungguh menyentil orang munafik,negative
25,@fitrimelia5685,ahok bagusnya jng jd hokage tp jd ketua akatsuki biar bersih kohona jd hokage kl bawahannya kelompok yg ga jalan program bersihnya,negative
26,@riswandilarisa6950,tangan berkuasa yg bermain ahok yg dikejar lihata aja kerja aparat masuk kotak oiiiii negara kuuuu,negative
27,@danurafiansyah,mantappp ahok bongkar,positive
28,@riswandilarisa6950,komut bertanggung lahh masak nggak kerja bawahan,negative
29,@panjiarimurti2117,umur ahok,negative
30,@riswandilarisa6950,komut,negative
31,@danurafiansyah,manusia panas hotman,negative
32,@SharonTurnip,𝙎𝙚𝙜𝙚𝙧𝙖 𝙗𝙚𝙧𝙡𝙖𝙠𝙪𝙠𝙖𝙣 𝙐𝙐 𝙃𝙪𝙠𝙪𝙢𝙖𝙣 𝙢𝙖𝙩𝙞 𝙙𝙚𝙢𝙞 𝙠𝙚𝙢𝙖𝙟𝙪𝙖𝙣 𝙧𝙖𝙠𝙮𝙖𝙩 𝙄𝙣𝙙𝙤𝙣𝙚𝙨𝙞𝙖,neutral
33,@ZeboJim-k5i,ahok komitmen konsisten jujur negara,positive
34,@AdiSaputra-r1f,ahhh bicara nhe org perasaan jd komesaris pertamina uda terbongkar koruptorx koar,negative
35,@videoviralyt122,ahoax bacot doang gliran pasca diperiksa saksi gak ngomong bilang tau,negative
36,@aliceyan8808,jadikan ahok menteri bumn mega korupsi pertamina,negative
37,@taufikgiftsum8320,ahok terkenal n rakyat udah tau,positive
38,@TamaRiska-e1l,mantap ahok,positive
39,@MoraHidayatlubis-ej8pk,berdoa setulus hati ahok president republik indonesia amin,positive
40,@fhentyalamba4998,bongkar,negative
41,@iryudhiyudantara3802,kalo ganti kulit direktur direksi pertamina dg memelihara koruptor berjamaah biarab penghianat orang ahok ga jadikan direktur pertamina karyawan pertamina mentri bumn penguasa ketar ketir ketakutan terbongkar ketauan perilaku korupsi,negative
42,@inrisalimsimanjuntak4416,ayo sdr ahok tegakkan kebenaran jgn takut tekanan penguasa bongkar korupsi mafia migas pertamina anak perusahaan pertamina,negative
43,@iryudhiyudantara3802,setuju banget baangeeettt ahok jadikan direktur pertamina meningkat keuangan pertamina pendapatan negara apbn tau menjabat gubernur dki jakarta sistem pengadaan barang jasa dg penerapan lkpp e katalog aman efektif efisien keuangan pemda dki jak prabowo presiden ri mohon dg hormat angkat ahok direktur pertamina kalo aja mempertahankan budaya direktur direksi pertamina tipu tipu utk korupsi berjamaah bohongi konsumen rakyat nkri biadab penghianat awas ganti kulit kongkalingkong,negative
44,@MohaliLukman,indonesia pake menjabat org kotor org bersih ga kepake,negative
45,@RantoSuranto-s1s,pk ahok pling dr yg laen dn udah bkl kejadian cri aman itulh mnusia,negative
46,@MohaliLukman,waahh wahhh kyanya mentri esdm terlibat nih,negative
47,@BastianSinurat-f8w,indo jago cakap,positive
48,@anggalionel8085,negeri korupsi koruptor hukum mati,negative
49,@darmokomoko2472,ahok jujur musuhi kantor yg kerja,negative
50,@sos8262,ekspresi wajah speeking nya ahok keliatan orang kerja keras dgn kejujuran yg membencinya ahok cocok kepala kpk,negative
51,@KusWa-m8g,smangat pa ahok,positive
